SubPc measured by Andreas at some point
wavelength	n	k
829	2.0737	0.0
830	2.0731	0.0
831	2.0726	0.0
832	2.072	0.0
833	2.0714	0.0
834	2.0709	0.0
835	2.0704	0.0
836	2.0698	0.0
837	2.0693	0.0
838	2.0688	0.0
839	2.0682	0.0
840	2.0677	0.0
841	2.0672	0.0
842	2.0667	0.0
843	2.0662	0.0
844	2.0657	0.0
845	2.0652	0.0
846	2.0647	0.0
847	2.0642	0.0
848	2.0637	0.0
849	2.0632	0.0
850	2.0628	0.0
851	2.0623	0.0
852	2.0618	0.0
853	2.0614	0.0
854	2.0609	0.0
855	2.0604	0.0
856	2.06	0.0
857	2.0595	0.0
858	2.0591	0.0
859	2.0586	0.0
860	2.0582	0.0
861	2.0578	0.0
862	2.0573	0.0
863	2.0569	0.0
864	2.0565	0.0
865	2.0561	0.0
866	2.0557	0.0
867	2.0552	0.0
868	2.0548	0.0
869	2.0544	0.0
870	2.054	0.0
871	2.0536	0.0
872	2.0532	0.0
873	2.0528	0.0
874	2.0524	0.0
875	2.0521	0.0
876	2.0517	0.0
877	2.0513	0.0
878	2.0509	0.0
879	2.0505	0.0
880	2.0502	0.0
881	2.0498	0.0
882	2.0494	0.0
883	2.0491	0.0
884	2.0487	0.0
885	2.0483	0.0
886	2.048	0.0
887	2.0476	0.0
888	2.0473	0.0
889	2.0469	0.0
890	2.0466	0.0
891	2.0462	0.0
892	2.0459	0.0
893	2.0455	0.0
894	2.0452	0.0
895	2.0449	0.0
896	2.0445	0.0
897	2.0442	0.0
898	2.0439	0.0
899	2.0436	0.0
900	2.0432	0.0
901	2.0429	0.0
902	2.0426	0.0
903	2.0423	0.0
904	2.042	0.0
905	2.0417	0.0
906	2.0414	0.0
907	2.041	0.0
908	2.0407	0.0
909	2.0404	0.0
910	2.0401	0.0
911	2.0398	0.0
912	2.0395	0.0
913	2.0393	0.0
914	2.039	0.0
915	2.0387	0.0
916	2.0384	0.0
917	2.0381	0.0
918	2.0378	0.0
919	2.0375	0.0
920	2.0372	0.0
921	2.037	0.0
922	2.0367	0.0
923	2.0364	0.0
924	2.0361	0.0
925	2.0359	0.0
926	2.0356	0.0
