Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
1016.217773	1.377826	0.000017
1019.587708	1.377813	0.000017
1022.958313	1.377800	0.000017
1026.329468	1.377788	0.000017
1029.701294	1.377776	0.000016
1033.073608	1.377764	0.000016
1036.446533	1.377752	0.000016
1039.820190	1.377740	0.000016
1043.194336	1.377728	0.000016
1046.569092	1.377716	0.000015
1049.944458	1.377705	0.000015
1053.320435	1.377693	0.000015
1056.697021	1.377682	0.000015
1060.074097	1.377670	0.000015
1063.451904	1.377659	0.000014
1066.830200	1.377648	0.000014
1070.209106	1.377637	0.000014
1073.588623	1.377626	0.000014
1076.968750	1.377616	0.000014
1080.349487	1.377605	0.000014
1083.730835	1.377595	0.000013
1087.112793	1.377584	0.000013
1090.495239	1.377574	0.000013
1093.878418	1.377563	0.000013
1097.262085	1.377553	0.000013
1100.646362	1.377543	0.000013
1104.031250	1.377533	0.000013
1107.416748	1.377524	0.000012
1110.802856	1.377514	0.000012
1114.189575	1.377504	0.000012
1117.576904	1.377494	0.000012
1120.964722	1.377485	0.000012
1124.353271	1.377476	0.000012
1127.742310	1.377466	0.000012
1131.131958	1.377457	0.000011
1134.522217	1.377448	0.000011
1137.913086	1.377439	0.000011
1141.304565	1.377430	0.000011
1144.696533	1.377421	0.000011
1148.089233	1.377412	0.000011
1151.482544	1.377403	0.000011
1154.876343	1.377394	0.000011
1158.270752	1.377386	0.000010
1161.665771	1.377377	0.000010
1165.061523	1.377369	0.000010
1168.457764	1.377360	0.000010
1171.854492	1.377352	0.000010
1175.251953	1.377344	0.000010
1178.650024	1.377336	0.000010
1182.048584	1.377328	0.000010
1185.447876	1.377319	0.000010
1188.847656	1.377312	0.000009
1192.248047	1.377304	0.000009
1195.649048	1.377296	0.000009
1199.050537	1.377288	0.000009
1202.452881	1.377280	0.000009
1205.855591	1.377273	0.000009
1209.259033	1.377265	0.000009
1212.662964	1.377258	0.000009
1216.067627	1.377250	0.000009
1219.472778	1.377243	0.000009
1222.878540	1.377236	0.000009
1226.284912	1.377228	0.000008
1229.691772	1.377221	0.000008
1233.099365	1.377214	0.000008
1236.507568	1.377207	0.000008
1239.916260	1.377200	0.000008
1243.325562	1.377193	0.000008
1246.735596	1.377186	0.000008
1250.146118	1.377179	0.000008
1253.557251	1.377172	0.000008
1256.968994	1.377166	0.000008
1260.381226	1.377159	0.000008
1263.794189	1.377152	0.000008
1267.207764	1.377146	0.000008
1270.621826	1.377139	0.000007
1274.036499	1.377133	0.000007
1277.451904	1.377126	0.000007
1280.867676	1.377120	0.000007
1284.284180	1.377113	0.000007
1287.701294	1.377107	0.000007
1291.119019	1.377101	0.000007
1294.537354	1.377095	0.000007
1297.956177	1.377089	0.000007
1301.375610	1.377083	0.000007
1304.795654	1.377077	0.000007
1308.216431	1.377071	0.000007
1311.637573	1.377065	0.000007
1315.059448	1.377059	0.000007
1318.481934	1.377053	0.000007
1321.905029	1.377047	0.000006
1325.328613	1.377041	0.000006
1328.752808	1.377036	0.000006
1332.177734	1.377030	0.000006
1335.603149	1.377024	0.000006
1339.029175	1.377019	0.000006
1342.455811	1.377013	0.000006
1345.883057	1.377008	0.000006
1349.310791	1.377002	0.000006
1352.739258	1.376997	0.000006
1356.168213	1.376992	0.000006
1359.597900	1.376986	0.000006
1363.028076	1.376981	0.000006
1366.458740	1.376976	0.000006
1369.890259	1.376970	0.000006
1373.322144	1.376965	0.000006
1376.754761	1.376960	0.000006
1380.187866	1.376955	0.000006
1383.621704	1.376950	0.000006
1387.056030	1.376945	0.000006
1390.490967	1.376940	0.000005
1393.926514	1.376935	0.000005
1397.362671	1.376930	0.000005
1400.799438	1.376925	0.000005
1404.236816	1.376920	0.000005
1407.674683	1.376916	0.000005
1411.113281	1.376911	0.000005
1414.552368	1.376906	0.000005
1417.992065	1.376901	0.000005
1421.432373	1.376897	0.000005
1424.873291	1.376892	0.000005
1428.314819	1.376887	0.000005
1431.756958	1.376883	0.000005
1435.199585	1.376878	0.000005
1438.642944	1.376874	0.000005
1442.086792	1.376869	0.000005
1445.531372	1.376865	0.000005
1448.976318	1.376860	0.000005
1452.422119	1.376856	0.000005
1455.868408	1.376852	0.000005
1459.315186	1.376848	0.000005
1462.762695	1.376843	0.000005
1466.210693	1.376839	0.000005
1469.659424	1.376835	0.000005
1473.108643	1.376830	0.000005
1476.558350	1.376826	0.000004
1480.008911	1.376822	0.000004
1483.459839	1.376818	0.000004
1486.911499	1.376814	0.000004
1490.363770	1.376810	0.000004
1493.816650	1.376806	0.000004
1497.270020	1.376802	0.000004
1500.723999	1.376798	0.000004
1504.178589	1.376794	0.000004
1507.633789	1.376790	0.000004
1511.089600	1.376786	0.000004
1514.546021	1.376782	0.000004
1518.002930	1.376778	0.000004
1521.460571	1.376775	0.000004
1524.918701	1.376771	0.000004
1528.377441	1.376767	0.000004
1531.836792	1.376763	0.000004
1535.296753	1.376760	0.000004
1538.757324	1.376756	0.000004
1542.218506	1.376752	0.000004
1545.680176	1.376749	0.000004
1549.142456	1.376745	0.000004
1552.605469	1.376741	0.000004
1556.068970	1.376738	0.000004
1559.533081	1.376734	0.000004
1562.997803	1.376731	0.000004
1566.463135	1.376727	0.000004
1569.928955	1.376724	0.000004
1573.395508	1.376720	0.000004
1576.862549	1.376717	0.000004
1580.330322	1.376714	0.000004
1583.798584	1.376710	0.000004
1587.267456	1.376707	0.000004
1590.736938	1.376703	0.000004
1594.207031	1.376700	0.000004
1597.677612	1.376697	0.000004
1601.148926	1.376693	0.000003
1604.620850	1.376690	0.000003
1608.093140	1.376687	0.000003
1611.566162	1.376684	0.000003
1615.039795	1.376681	0.000003
1618.514038	1.376677	0.000003
1621.989014	1.376674	0.000003
1625.464355	1.376671	0.000003
1628.940308	1.376668	0.000003
1632.416992	1.376665	0.000003
1635.894165	1.376662	0.000003
1639.371826	1.376659	0.000003
1642.850342	1.376656	0.000003
1646.329346	1.376653	0.000003
1649.808960	1.376650	0.000003
1653.289063	1.376647	0.000003
1656.769897	1.376644	0.000003
1660.251221	1.376641	0.000003
1663.733154	1.376638	0.000003
1667.215820	1.376635	0.000003
1670.698853	1.376632	0.000003
1674.182617	1.376629	0.000003
1677.666992	1.376626	0.000003
1681.151978	1.376624	0.000003
1684.637451	1.376621	0.000003
1688.123413	1.376618	0.000003
