Opt. Const. of PFOGlassy vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
388.799988	1.818315	0.687549	1.654844	0.342074
389.100006	1.824521	0.686452	1.657643	0.34216
389.399994	1.830786	0.685205	1.660483	0.342196
389.700012	1.837035	0.683971	1.663319	0.342233
390	1.84327	0.682751	1.666149	0.342271
390.299988	1.849602	0.681287	1.66905	0.342237
390.600006	1.85592	0.679838	1.671945	0.342203
390.899994	1.862223	0.678404	1.674835	0.342171
391.200012	1.868589	0.676806	1.677777	0.342092
391.5	1.874981	0.675134	1.680741	0.34199
391.799988	1.881358	0.673479	1.683701	0.34189
392.100006	1.887763	0.671746	1.686688	0.341767
392.399994	1.894238	0.669843	1.689736	0.341599
392.700012	1.900699	0.667958	1.692779	0.341432
393	1.907146	0.666091	1.695817	0.341267
393.299988	1.913723	0.663955	1.698972	0.341031
393.600006	1.920286	0.661838	1.702121	0.340798
393.899994	1.926835	0.659741	1.705265	0.340566
394.200012	1.933499	0.657465	1.708513	0.340283
394.5	1.940213	0.655112	1.711812	0.339976
394.799988	1.946913	0.65278	1.715104	0.339671
395.100006	1.9537	0.650348	1.718464	0.339323
395.399994	1.960673	0.6477	1.721967	0.338886
395.700012	1.967633	0.645074	1.725463	0.338453
396	1.974579	0.642472	1.728952	0.338022
396.299988	1.981852	0.63933	1.732665	0.33737
396.600006	1.989112	0.636214	1.736372	0.336722
396.899994	1.99636	0.633126	1.740071	0.336079
397.200012	2.003754	0.629559	1.743902	0.335237
397.5	2.011219	0.62577	1.747794	0.3343
397.799988	2.018672	0.622012	1.75168	0.333368
398.100006	2.026136	0.617997	1.755613	0.332316
398.399994	2.033637	0.613439	1.759648	0.331022
398.700012	2.04113	0.608916	1.763677	0.329735
399	2.048617	0.604428	1.767699	0.328455
399.299988	2.056011	0.599068	1.771816	0.326743
399.600006	2.063405	0.593748	1.775927	0.325041
399.899994	2.070796	0.588465	1.780031	0.323348
400.200012	2.078022	0.582598	1.784139	0.321334
400.5	2.085169	0.576459	1.788246	0.319166
400.799988	2.092321	0.57036	1.792348	0.317008
401.100006	2.09934	0.563995	1.796405	0.314692
