Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
750.304443	1.582180	0.003408
751.888794	1.582141	0.003402
753.473145	1.582101	0.003395
755.057373	1.582062	0.003388
756.641602	1.582024	0.003382
758.225708	1.581985	0.003375
759.809814	1.581947	0.003368
761.393860	1.581909	0.003362
762.977783	1.581871	0.003355
764.561646	1.581833	0.003349
766.145508	1.581796	0.003342
767.729309	1.581759	0.003336
769.313049	1.581722	0.003329
770.896667	1.581686	0.003323
772.480225	1.581649	0.003316
774.063782	1.581613	0.003310
775.647217	1.581577	0.003304
777.230591	1.581542	0.003297
778.813904	1.581506	0.003291
780.397156	1.581471	0.003285
781.980347	1.581436	0.003278
783.563538	1.581401	0.003272
785.146606	1.581367	0.003266
786.729553	1.581332	0.003260
788.312500	1.581298	0.003254
789.895325	1.581264	0.003247
791.478149	1.581231	0.003241
793.060852	1.581197	0.003235
794.643433	1.581164	0.003229
796.226074	1.581131	0.003223
797.808533	1.581098	0.003217
799.390991	1.581065	0.003211
800.973328	1.581033	0.003205
802.555664	1.581000	0.003199
804.137817	1.580968	0.003193
805.720032	1.580937	0.003187
807.302124	1.580905	0.003181
808.884094	1.580873	0.003175
810.466003	1.580842	0.003169
812.047852	1.580811	0.003164
813.629639	1.580780	0.003158
815.211304	1.580749	0.003152
816.792969	1.580719	0.003146
818.374512	1.580688	0.003140
819.955933	1.580658	0.003135
821.537415	1.580628	0.003129
823.118774	1.580598	0.003123
824.700012	1.580569	0.003117
826.281128	1.580539	0.003112
827.862183	1.580510	0.003106
829.443237	1.580481	0.003101
831.024109	1.580452	0.003095
832.604980	1.580423	0.003089
834.185730	1.580394	0.003084
835.766418	1.580366	0.003078
837.347046	1.580338	0.003073
838.927612	1.580309	0.003067
840.507996	1.580281	0.003062
842.088379	1.580254	0.003056
843.668640	1.580226	0.003051
845.248840	1.580198	0.003045
846.828979	1.580171	0.003040
848.408997	1.580144	0.003035
849.988953	1.580117	0.003029
851.568848	1.580090	0.003024
853.148621	1.580063	0.003019
854.728333	1.580037	0.003013
856.307922	1.580010	0.003008
857.887390	1.579984	0.003003
859.466797	1.579958	0.002997
861.046204	1.579932	0.002992
862.625488	1.579906	0.002987
864.204590	1.579881	0.002982
865.783691	1.579855	0.002977
867.362671	1.579830	0.002971
868.941589	1.579805	0.002966
870.520386	1.579780	0.002961
872.099121	1.579755	0.002956
873.677734	1.579730	0.002951
875.256226	1.579705	0.002946
876.834778	1.579681	0.002941
878.413086	1.579656	0.002936
879.991394	1.579632	0.002931
881.569519	1.579608	0.002926
883.147644	1.579584	0.002921
884.725586	1.579560	0.002916
886.303528	1.579536	0.002911
887.881348	1.579513	0.002906
889.458984	1.579489	0.002901
891.036621	1.579466	0.002896
892.614136	1.579443	0.002891
894.191589	1.579420	0.002886
895.768860	1.579397	0.002881
897.346069	1.579374	0.002876
898.923218	1.579351	0.002872
900.500305	1.579329	0.002867
902.077271	1.579306	0.002862
903.653992	1.579284	0.002857
905.230774	1.579262	0.002852
906.807434	1.579239	0.002848
908.383972	1.579217	0.002843
909.960327	1.579196	0.002838
911.536743	1.579174	0.002834
913.112976	1.579152	0.002829
914.689087	1.579131	0.002824
916.265137	1.579109	0.002820
917.841003	1.579088	0.002815
919.416870	1.579067	0.002810
920.992554	1.579046	0.002806
922.568237	1.579025	0.002801
924.143738	1.579004	0.002796
925.719116	1.578983	0.002792
927.294556	1.578963	0.002787
928.869751	1.578942	0.002783
930.444824	1.578922	0.002778
932.019836	1.578902	0.002774
933.594604	1.578881	0.002769
935.169434	1.578861	0.002765
936.744141	1.578841	0.002760
938.318726	1.578821	0.002756
939.893188	1.578802	0.002751
941.467468	1.578782	0.002747
943.041809	1.578762	0.002743
944.615906	1.578743	0.002738
946.189941	1.578724	0.002734
947.763855	1.578704	0.002729
949.337585	1.578685	0.002725
950.911316	1.578666	0.002721
952.484985	1.578647	0.002716
954.058411	1.578628	0.002712
955.631714	1.578609	0.002708
957.204956	1.578591	0.002704
958.778137	1.578572	0.002699
960.351196	1.578554	0.002695
961.924011	1.578535	0.002691
963.496887	1.578517	0.002687
965.069519	1.578499	0.002682
966.642090	1.578480	0.002678
968.214539	1.578462	0.002674
969.786926	1.578445	0.002670
971.359070	1.578427	0.002666
972.931274	1.578409	0.002661
974.503235	1.578391	0.002657
976.075073	1.578374	0.002653
977.646790	1.578356	0.002649
979.218445	1.578339	0.002645
980.789917	1.578321	0.002641
982.361328	1.578304	0.002637
983.932617	1.578287	0.002633
985.503784	1.578270	0.002629
987.074829	1.578253	0.002625
988.645691	1.578236	0.002621
990.216492	1.578219	0.002617
991.787231	1.578202	0.002613
993.357727	1.578186	0.002609
994.928223	1.578169	0.002605
996.498413	1.578153	0.002601
998.068665	1.578136	0.002597
999.638794	1.578120	0.002593
1012.848328	1.577986	0.00256
1016.217773	1.577952	0.00255
1019.587708	1.577919	0.00254
1022.958313	1.577886	0.00253
1026.329468	1.577854	0.00252
1029.701294	1.577822	0.00252
1033.073608	1.577790	0.00251
1036.446533	1.577759	0.00250
1039.820190	1.577727	0.00249
1043.194336	1.577696	0.00248
1046.569092	1.577666	0.00248
1049.944458	1.577636	0.00247
1053.320435	1.577605	0.00246
1056.697021	1.577576	0.00245
1060.074097	1.577546	0.00245
1063.451904	1.577517	0.00244
1066.830200	1.577488	0.00243
1070.209106	1.577460	0.00242
1073.588623	1.577431	0.00242
1076.968750	1.577403	0.00241
1080.349487	1.577375	0.00240
1083.730835	1.577348	0.00239
1087.112793	1.577321	0.00239
1090.495239	1.577294	0.00238
1093.878418	1.577267	0.00237
1097.262085	1.577240	0.00236
1100.646362	1.577214	0.00236
1104.031250	1.577188	0.00235
1107.416748	1.577162	0.00234
1110.802856	1.577136	0.00234
1114.189575	1.577111	0.00233
1117.576904	1.577086	0.00232
1120.964722	1.577061	0.00232
1124.353271	1.577036	0.00231
1127.742310	1.577012	0.00230
1131.131958	1.576987	0.00230
1134.522217	1.576963	0.00229
1137.913086	1.576940	0.00228
1141.304565	1.576916	0.00228
1144.696533	1.576892	0.00227
1148.089233	1.576869	0.00226
1151.482544	1.576846	0.00226
1154.876343	1.576824	0.00225
1158.270752	1.576801	0.00224
1161.665771	1.576779	0.00224
1165.061523	1.576756	0.00223
1168.457764	1.576734	0.00222
1171.854492	1.576712	0.00222
1175.251953	1.576691	0.00221
1178.650024	1.576669	0.00221
1182.048584	1.576648	0.00220
1185.447876	1.576627	0.00219
1188.847656	1.576606	0.00219
1192.248047	1.576585	0.00218
1195.649048	1.576565	0.00217
1199.050537	1.576545	0.00217
1202.452881	1.576524	0.00216
1205.855591	1.576504	0.00216
1209.259033	1.576484	0.00215
1212.662964	1.576465	0.00214
1216.067627	1.576445	0.00214
1219.472778	1.576426	0.00213
1222.878540	1.576406	0.00213
1226.284912	1.576387	0.00212
1229.691772	1.576368	0.00212
1233.099365	1.576350	0.00211
1236.507568	1.576331	0.00210
1239.916260	1.576313	0.00210
1243.325562	1.576294	0.00209
1246.735596	1.576276	0.00209
1250.146118	1.576258	0.00208
1253.557251	1.576240	0.00208
1256.968994	1.576223	0.00207
1260.381226	1.576205	0.00207
1263.794189	1.576188	0.00206
1267.207764	1.576170	0.00205
1270.621826	1.576153	0.00205
1274.036499	1.576136	0.00204
1277.451904	1.576119	0.00204
1280.867676	1.576103	0.00203
1284.284180	1.576086	0.00203
1287.701294	1.576069	0.00202
1291.119019	1.576053	0.00202
1294.537354	1.576037	0.00201
1297.956177	1.576021	0.00201
1301.375610	1.576005	0.00200
1304.795654	1.575989	0.00200
1308.216431	1.575973	0.00199
1311.637573	1.575958	0.00199
1315.059448	1.575942	0.00198
1318.481934	1.575927	0.00198
1321.905029	1.575912	0.00197
1325.328613	1.575896	0.00197
1328.752808	1.575881	0.00196
1332.177734	1.575866	0.00196
1335.603149	1.575852	0.00195
1339.029175	1.575837	0.00195
1342.455811	1.575822	0.00194
1345.883057	1.575808	0.00194
1349.310791	1.575794	0.00193
1352.739258	1.575779	0.00193
1356.168213	1.575765	0.00192
1359.597900	1.575751	0.00192
1363.028076	1.575737	0.00191
1366.458740	1.575723	0.00191
1369.890259	1.575710	0.00190
1373.322144	1.575696	0.00190
1376.754761	1.575683	0.00189
1380.187866	1.575669	0.00189
1383.621704	1.575656	0.00188
1387.056030	1.575642	0.00188
1390.490967	1.575629	0.00188
1393.926514	1.575616	0.00187
1397.362671	1.575603	0.00187
1400.799438	1.575590	0.00186
1404.236816	1.575578	0.00186
1407.674683	1.575565	0.00185
1411.113281	1.575553	0.00185
1414.552368	1.575540	0.00184
1417.992065	1.575528	0.00184
1421.432373	1.575515	0.00184
1424.873291	1.575503	0.00183
1428.314819	1.575491	0.00183
1431.756958	1.575479	0.00182
1435.199585	1.575467	0.00182
1438.642944	1.575455	0.00181
1442.086792	1.575443	0.00181
1445.531372	1.575432	0.00180
1448.976318	1.575420	0.00180
1452.422119	1.575408	0.00180
1455.868408	1.575397	0.00179
1459.315186	1.575386	0.00179
1462.762695	1.575374	0.00178
1466.210693	1.575363	0.00178
1469.659424	1.575352	0.00178
1473.108643	1.575341	0.00177
1476.558350	1.575330	0.00177
1480.008911	1.575319	0.00176
1483.459839	1.575308	0.00176
1486.911499	1.575297	0.00176
1490.363770	1.575287	0.00175
1493.816650	1.575276	0.00175
1497.270020	1.575266	0.00174
1500.723999	1.575255	0.00174
1504.178589	1.575245	0.00174
1507.633789	1.575234	0.00173
1511.089600	1.575224	0.00173
1514.546021	1.575214	0.00172
1518.002930	1.575204	0.00172
1521.460571	1.575194	0.00172
1524.918701	1.575184	0.00171
1528.377441	1.575174	0.00171
1531.836792	1.575164	0.00170
1535.296753	1.575154	0.00170
1538.757324	1.575144	0.00170
1542.218506	1.575135	0.00169
1545.680176	1.575125	0.00169
1549.142456	1.575115	0.00169
1552.605469	1.575106	0.00168
1556.068970	1.575097	0.00168
1559.533081	1.575087	0.00167
1562.997803	1.575078	0.00167
1566.463135	1.575069	0.00167
1569.928955	1.575060	0.00166
1573.395508	1.575050	0.00166
1576.862549	1.575041	0.00166
1580.330322	1.575032	0.00165
1583.798584	1.575023	0.00165
1587.267456	1.575014	0.00165
1590.736938	1.575006	0.00164
1594.207031	1.574997	0.00164
1597.677612	1.574988	0.00164
1601.148926	1.574980	0.00163
1604.620850	1.574971	0.00163
1608.093140	1.574962	0.00162
1611.566162	1.574954	0.00162
1615.039795	1.574945	0.00162
1618.514038	1.574937	0.00161
1621.989014	1.574929	0.00161
1625.464355	1.574920	0.00161
1628.940308	1.574912	0.00160
1632.416992	1.574904	0.00160
