Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
350	1.48195	0.048289	0.96598	0.617534	1.48512	0.075274
351	1.479496	0.052302	0.968058	0.650361	1.483924	0.079205
352	1.477403	0.056606	0.972689	0.682838	1.483015	0.083304
353	1.475676	0.061076	0.979783	0.714067	1.482406	0.08752
354	1.4743	0.065615	0.989197	0.743557	1.482099	0.091803
355	1.473204	0.070193	1.000808	0.771584	1.482085	0.096107
356	1.472313	0.074795	1.014523	0.798518	1.48235	0.100388
357	1.471551	0.079403	1.030268	0.824703	1.482863	0.104601
358	1.470868	0.084008	1.047724	0.850361	1.483574	0.108715
359	1.470273	0.088619	1.065849	0.875427	1.484423	0.112738
360	1.469789	0.093247	1.083579	0.899822	1.48538	0.116697
361	1.469436	0.097903	1.099968	0.923495	1.486431	0.120617
362	1.469234	0.102609	1.11452	0.946475	1.487569	0.124521
363	1.469201	0.107455	1.128449	0.969043	1.488795	0.128431
364	1.469355	0.112545	1.143349	0.991497	1.490115	0.132369
365	1.469717	0.11798	1.160663	1.014081	1.491543	0.136353
366	1.47031	0.123842	1.18154	1.036959	1.493096	0.1404
367	1.471204	0.130044	1.205488	1.059868	1.4948	0.144528
368	1.472495	0.136397	1.231122	1.082338	1.496694	0.14875
369	1.474272	0.142714	1.257193	1.103953	1.49884	0.153062
370	1.476614	0.148817	1.282595	1.124347	1.50129	0.157415
371	1.479549	0.154606	1.307181	1.143353	1.504065	0.161754
372	1.483022	0.160111	1.332156	1.161083	1.507169	0.166026
373	1.486974	0.165369	1.358727	1.17767	1.510598	0.170183
374	1.491349	0.17042	1.387984	1.193252	1.514338	0.174178
375	1.496088	0.175289	1.420659	1.207914	1.518368	0.17797
376	1.501106	0.179921	1.455901	1.221326	1.522659	0.181518
377	1.50631	0.184234	1.492381	1.233016	1.527176	0.184787
378	1.51161	0.18815	1.52892	1.242535	1.531874	0.187743
379	1.516921	0.191599	1.564475	1.249447	1.536692	0.190358
380	1.522183	0.194567	1.598471	1.253669	1.541545	0.192614
381	1.527376	0.197142	1.631009	1.255724	1.546327	0.194557
382	1.532489	0.19942	1.662229	1.256157	1.550987	0.196272
383	1.53751	0.201491	1.692243	1.255466	1.55551	0.197836
384	1.542431	0.203442	1.721134	1.254105	1.559896	0.19932
385	1.547259	0.205317	1.748907	1.252321	1.564161	0.200792
