Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
407	2.19729	0.397845	1.860924	0.246545
408	2.204123	0.366358	1.868356	0.232435
409	2.208838	0.335361	1.874825	0.217892
410	2.212037	0.304266	1.88034	0.202916
411	2.213397	0.272319	1.884871	0.187506
412	2.211766	0.239414	1.888359	0.17166
413	2.206431	0.206518	1.890714	0.155377
414	2.19735	0.174621	1.891797	0.138652
415	2.18484	0.144509	1.891344	0.121509
416	2.16928	0.116799	1.88902	0.104238
417	2.151227	0.092091	1.88471	0.087264
418	2.131433	0.070696	1.878426	0.070994
419	2.110554	0.05277	1.870268	0.055831
420	2.089434	0.038405	1.860423	0.04218
421	2.068925	0.027141	1.849198	0.030452
422	2.049406	0.018319	1.837142	0.021038
423	2.030849	0.011388	1.825031	0.013908
424	2.013153	0.006224	1.813345	0.008735
425	1.996462	0.002805	1.802376	0.005188
426	1.981142	0.000984	1.792318	0.002938
427	1.967469	0.000265	1.783279	0.001654
428	1.955419	0.000086	1.775287	0.001007
429	1.944651	0.000023	1.768264	0.00067
430	1.934848	0.000002	1.761978	0.000428
431	1.925837	0	1.756252	0.000253
432	1.917488	0	1.750992	0.000134
433	1.909705	0	1.746132	0.00006
434	1.902413	0	1.741624	0.00002
435	1.895555	0	1.737426	0.000003
436	1.889085	0	1.733505	0
437	1.882963	0	1.729829	0
438	1.877156	0	1.726367	0
439	1.871636	0	1.723094	0
440	1.866377	0	1.719993	0
441	1.861359	0	1.717047	0
442	1.856563	0	1.714243	0
443	1.851971	0	1.711568	0
444	1.84757	0	1.709012	0
445	1.843345	0	1.706565	0
446	1.839285	0	1.704221	0
447	1.83538	0	1.701971	0
448	1.831618	0	1.69981	0
449	1.827993	0	1.69773	0
450	1.824494	0	1.695728	0
451	1.821116	0	1.693797	0
452	1.81785	0	1.691935	0
453	1.814692	0	1.690136	0
454	1.811635	0	1.688397	0
455	1.808673	0	1.686715	0
456	1.805803	0	1.685086	0
457	1.803019	0	1.683509	0
458	1.800317	0	1.681979	0
459	1.797693	0	1.680495	0
460	1.795144	0	1.679055	0
461	1.792666	0	1.677656	0
462	1.790255	0	1.676296	0
463	1.78791	0	1.674974	0
464	1.785627	0	1.673688	0
465	1.783403	0	1.672436	0
466	1.781236	0	1.671217	0
467	1.779123	0	1.670029	0
468	1.777063	0	1.668871	0
469	1.775053	0	1.667742	0
470	1.773091	0	1.66664	0
471	1.771176	0	1.665565	0
472	1.769306	0	1.664516	0
473	1.767478	0	1.66349	0
474	1.765692	0	1.662489	0
475	1.763946	0	1.66151	0
476	1.762239	0	1.660553	0
477	1.760568	0	1.659616	0
478	1.758933	0	1.6587	0
479	1.757333	0	1.657804	0
480	1.755767	0	1.656926	0
481	1.754233	0	1.656067	0
