Opt. Const. of PFO158 vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
359.100006	1.301875	0.390335	1.467286	0.100287
359.399994	1.303156	0.394385	1.467379	0.101355
359.700012	1.304445	0.398425	1.467473	0.102423
360	1.305742	0.402454	1.467567	0.103491
360.299988	1.307198	0.406449	1.467683	0.104595
360.600006	1.308661	0.410432	1.4678	0.105698
360.899994	1.310131	0.414403	1.467917	0.106802
361.200012	1.311678	0.418358	1.46806	0.107931
361.5	1.313267	0.422297	1.468215	0.109073
361.799988	1.314862	0.426226	1.468372	0.110215
362.100006	1.316496	0.430152	1.468545	0.111369
362.399994	1.318199	0.434086	1.468751	0.112545
362.700012	1.319908	0.438007	1.468957	0.113721
363	1.321623	0.441917	1.469165	0.114897
363.299988	1.323452	0.445876	1.469428	0.116103
363.600006	1.325287	0.449821	1.469692	0.117309
363.899994	1.327126	0.453755	1.469956	0.118514
364.200012	1.329061	0.45773	1.470262	0.119736
364.5	1.331046	0.461719	1.47059	0.120967
364.799988	1.333035	0.465694	1.470918	0.122198
365.100006	1.335084	0.469687	1.471269	0.123435
365.399994	1.337248	0.473728	1.471666	0.124687
365.700012	1.339416	0.477754	1.472063	0.125939
366	1.341587	0.481767	1.472461	0.127189
366.299988	1.343965	0.485863	1.472933	0.128458
366.600006	1.346346	0.489944	1.473406	0.129726
366.899994	1.348729	0.494009	1.473879	0.130993
367.200012	1.351286	0.498118	1.474408	0.132268
367.5	1.353929	0.50224	1.474964	0.133547
367.799988	1.356573	0.506345	1.475521	0.134824
368.100006	1.359316	0.51045	1.476108	0.136101
368.399994	1.362255	0.514569	1.476754	0.137378
368.700012	1.365193	0.518672	1.477401	0.138653
369	1.368131	0.522757	1.478049	0.139928
369.299988	1.37138	0.526834	1.478787	0.14119
369.600006	1.374625	0.530892	1.479525	0.142452
369.899994	1.377869	0.534933	1.480264	0.143712
370.200012	1.381326	0.538938	1.481063	0.144957
370.5	1.384887	0.542916	1.481892	0.146193
370.799988	1.388444	0.546875	1.482721	0.147427
371.100006	1.392107	0.550794	1.48358	0.148649
371.399994	1.395988	0.554651	1.484496	0.149849
371.700012	1.399861	0.55849	1.485413	0.151046
372	1.403727	0.56231	1.48633	0.152243
372.299988	1.407925	0.566008	1.48733	0.153395
372.600006	1.412113	0.569689	1.48833	0.154546
372.899994	1.416291	0.573351	1.48933	0.155695
373.200012	1.420693	0.576901	1.490381	0.156808
373.5	1.4252	0.580386	1.491458	0.157902
373.799988	1.429693	0.583854	1.492534	0.158995
374.100006	1.434295	0.587236	1.493633	0.160066
374.399994	1.439124	0.590461	1.494778	0.161096
374.700012	1.443938	0.593671	1.495922	0.162124
375	1.448737	0.596866	1.497066	0.163151
375.299988	1.453849	0.599755	1.498271	0.164112
375.600006	1.458944	0.60263	1.499474	0.165071
375.899994	1.464022	0.605493	1.500678	0.166028
376.200012	1.46926	0.608105	1.501916	0.166938
376.5	1.474568	0.610588	1.503171	0.167822
376.799988	1.479856	0.613061	1.504426	0.168705
377.100006	1.485183	0.615395	1.505694	0.169562
377.399994	1.490605	0.617463	1.506992	0.170367
377.700012	1.496007	0.619523	1.508288	0.171171
378	1.50139	0.621577	1.509584	0.171974
378.299988	1.50685	0.623262	1.510913	0.172696
378.600006	1.51229	0.624942	1.51224	0.173418
378.899994	1.517711	0.626619	1.513567	0.174138
379.200012	1.52315	0.628066	1.514908	0.174801
379.5	1.528589	0.629399	1.516254	0.175436
379.799988	1.534009	0.63073	1.517599	0.17607
380.100006	1.539419	0.631953	1.518945	0.176674
380.399994	1.544831	0.632963	1.520292	0.17722
380.700012	1.550225	0.633973	1.521638	0.177766
381	1.5556	0.634984	1.522983	0.178311
381.299988	1.560964	0.635679	1.524308	0.17878
381.600006	1.56631	0.636376	1.525632	0.179248
381.899994	1.57164	0.637075	1.526954	0.179715
382.200012	1.576928	0.637563	1.528256	0.180144
382.5	1.582189	0.637949	1.529545	0.180554
382.799988	1.587434	0.638339	1.530834	0.180963
383.100006	1.592631	0.638627	1.53211	0.18136
383.399994	1.597749	0.63871	1.533362	0.18173
383.700012	1.602854	0.638799	1.534612	0.1821
384	1.607944	0.638892	1.535862	0.18247
384.299988	1.612832	0.638717	1.537075	0.182818
384.600006	1.617709	0.638549	1.538287	0.183166
384.899994	1.622572	0.638386	1.539498	0.183513
385.200012	1.627264	0.638124	1.540687	0.183857
385.5	1.631865	0.637815	1.541863	0.184198
385.799988	1.636456	0.637512	1.543039	0.18454
386.100006	1.64096	0.637198	1.544205	0.184884
386.399994	1.645304	0.636858	1.545352	0.185235
386.700012	1.649639	0.636524	1.546498	0.185585
387	1.653965	0.636194	1.547643	0.185935
387.299988	1.658102	0.635912	1.548766	0.18631
387.600006	1.662231	0.635634	1.549889	0.186684
387.899994	1.666352	0.635361	1.551012	0.187058
388.200012	1.670393	0.635161	1.552125	0.187459
388.5	1.67439	0.634998	1.553233	0.187873
388.799988	1.678379	0.634839	1.554341	0.188286
389.100006	1.682347	0.634729	1.555449	0.188719
389.399994	1.686281	0.634715	1.556557	0.189192
389.700012	1.690207	0.634703	1.557665	0.189664
390	1.694125	0.634694	1.558771	0.190136
390.299988	1.698068	0.634856	1.559901	0.190684
390.600006	1.702003	0.635019	1.561029	0.191232
390.899994	1.705929	0.635185	1.562157	0.19178
391.200012	1.709928	0.635477	1.563317	0.192388
391.5	1.713958	0.635833	1.564494	0.193028
391.799988	1.71798	0.63619	1.565669	0.193666
392.100006	1.722065	0.636607	1.566872	0.194339
392.399994	1.726286	0.637143	1.568131	0.195083
392.700012	1.730497	0.637679	1.569389	0.195827
393	1.734698	0.638216	1.570647	0.196569
393.299988	1.739195	0.638905	1.572034	0.197429
393.600006	1.74368	0.639595	1.57342	0.198288
393.899994	1.748154	0.640285	1.574805	0.199146
394.200012	1.752888	0.641057	1.57632	0.200088
394.5	1.757745	0.64187	1.577899	0.201071
394.799988	1.762589	0.642684	1.579476	0.202053
395.100006	1.767604	0.643515	1.581154	0.203068
395.399994	1.772971	0.644381	1.583036	0.204154
395.700012	1.778323	0.645247	1.584915	0.205238
396	1.783659	0.646113	1.586793	0.206319
396.299988	1.789632	0.646861	1.589068	0.207389
396.600006	1.795586	0.64761	1.591341	0.208456
396.899994	1.801522	0.648361	1.593611	0.209521
397.200012	1.807891	0.64892	1.596156	0.210489
397.5	1.814466	0.649388	1.598837	0.211407
397.799988	1.821018	0.64986	1.601514	0.212323
398.100006	1.827777	0.650188	1.604319	0.213149
398.399994	1.83497	0.650228	1.607384	0.213798
398.700012	1.842139	0.650276	1.610444	0.214445
399	1.849283	0.650332	1.613498	0.21509
399.299988	1.85711	0.64976	1.616897	0.215359
399.600006	1.864909	0.649203	1.620289	0.215628
399.899994	1.872681	0.648659	1.623674	0.215897
400.200012	1.880845	0.647526	1.627237	0.215846
400.5	1.889192	0.646112	1.630885	0.215639
400.799988	1.89751	0.64472	1.634526	0.215433
401.100006	1.905947	0.642969	1.638217	0.215038
401.399994	1.914652	0.640487	1.642019	0.214266
401.700012	1.923332	0.638036	1.645812	0.213498
402	1.931985	0.635615	1.649598	0.212734
402.299988	1.940773	0.631903	1.653409	0.211321
402.600006	1.949542	0.628231	1.657212	0.209915
402.899994	1.95829	0.624599	1.661009	0.208517
403.200012	1.966863	0.620106	1.664675	0.206685
403.5	1.975346	0.61521	1.668274	0.204643
403.799988	1.983819	0.610358	1.671869	0.20261
404.100006	1.992113	0.605155	1.675345	0.200405
404.399994	2.000071	0.599208	1.678591	0.197846
404.700012	2.008028	0.593307	1.681836	0.195298
405	2.015984	0.587453	1.685079	0.192759
405.299988	2.023287	0.580601	1.687901	0.189802
405.600006	2.0306	0.573796	1.690723	0.186854
405.899994	2.037922	0.567037	1.693548	0.183916
406.200012	2.044735	0.559709	1.696061	0.180773
406.5	2.051306	0.552119	1.698423	0.177532
406.799988	2.057895	0.544571	1.700788	0.174299
407.100006	2.064205	0.536801	1.702992	0.171
407.399994	2.069944	0.528539	1.704872	0.167561
407.700012	2.07571	0.520316	1.706758	0.164128
408	2.081502	0.512132	1.708649	0.160703
408.299988	2.086341	0.503313	1.710045	0.157155
408.600006	2.091214	0.494528	1.711447	0.153612
408.899994	2.09612	0.485776	1.712856	0.150074
409.200012	2.100352	0.476689	1.713942	0.146515
409.5	2.104269	0.467444	1.71487	0.142945
409.799988	2.108225	0.458225	1.715805	0.139379
410.100006	2.111836	0.448886	1.716589	0.135831
410.399994	2.114721	0.439274	1.717067	0.132314
410.700012	2.11765	0.42968	1.717551	0.128798
411	2.120622	0.420105	1.718043	0.125284
411.299988	2.122358	0.410266	1.718114	0.121884
411.600006	2.12414	0.400434	1.718192	0.118483
411.899994	2.125967	0.390611	1.718276	0.115083
412.200012	2.126945	0.380773	1.71811	0.111786
412.5	2.127521	0.370922	1.717822	0.10854
412.799988	2.128141	0.361069	1.71754	0.105293
413.100006	2.128362	0.351281	1.717147	0.10211
413.399994	2.127736	0.341618	1.716526	0.099056
413.700012	2.127152	0.331943	1.71591	0.095999
414	2.126611	0.322257	1.7153	0.09294
414.299988	2.124821	0.31298	1.714379	0.090114
414.600006	2.123067	0.303682	1.713463	0.087285
414.899994	2.12135	0.294364	1.712551	0.084453
415.200012	2.118862	0.285452	1.71146	0.081801
415.5	2.116	0.276728	1.71028	0.079237
415.799988	2.113167	0.267977	1.709103	0.076669
416.100006	2.109998	0.259485	1.707852	0.074203
416.399994	2.106123	0.251537	1.706451	0.071942
416.700012	2.102267	0.243556	1.705052	0.069676
417	2.09843	0.235544	1.703655	0.067408
417.299988	2.093681	0.228574	1.702085	0.065486
417.600006	2.088942	0.221571	1.700515	0.063561
417.899994	2.084212	0.214535	1.698946	0.061633
418.200012	2.079029	0.208323	1.697309	0.059959
418.5	2.073617	0.202507	1.695637	0.058412
418.799988	2.068203	0.196662	1.693964	0.056862
419.100006	2.06269	0.191264	1.692293	0.055445
419.399994	2.05697	0.186797	1.690625	0.0543
419.700012	2.051243	0.182306	1.688956	0.053153
420	2.045506	0.17779	1.687286	0.052003
420.299988	2.039874	0.174555	1.685735	0.051211
420.600006	2.03423	0.171302	1.684183	0.050418
420.899994	2.028574	0.168033	1.682629	0.049623
421.200012	2.023125	0.165467	1.681197	0.049015
421.5	2.017771	0.163251	1.679825	0.048502
421.799988	2.012406	0.161025	1.678452	0.047987
422.100006	2.007174	0.159078	1.67715	0.047542
422.399994	2.002223	0.157705	1.675994	0.047235
422.700012	1.99726	0.156327	1.674838	0.046929
423	1.992286	0.154942	1.67368	0.046622
423.299988	1.987748	0.154233	1.67276	0.046452
423.600006	1.9832	0.153522	1.67184	0.046283
423.899994	1.978642	0.152808	1.670919	0.046113
424.200012	1.974321	0.152513	1.670158	0.045988
424.5	1.970115	0.152429	1.669478	0.045887
424.799988	1.9659	0.152345	1.668798	0.045785
425.100006	1.961812	0.152491	1.668195	0.045683
425.399994	1.957988	0.153099	1.667746	0.045582
425.700012	1.954157	0.15371	1.667297	0.045481
426	1.950319	0.154324	1.666847	0.045379
426.299988	1.947007	0.155683	1.666604	0.045213
426.600006	1.943691	0.157047	1.666361	0.045046
426.899994	1.940371	0.158416	1.666118	0.04488
427.200012	1.937552	0.160312	1.665981	0.044628
427.5	1.934985	0.162475	1.665897	0.044334
427.799988	1.932417	0.164643	1.665813	0.044039
428.100006	1.930239	0.167038	1.665754	0.04369
428.399994	1.928842	0.169879	1.665744	0.043231
428.700012	1.927449	0.172724	1.665734	0.042773
429	1.92606	0.175573	1.665724	0.042314
429.299988	1.926112	0.178636	1.665717	0.041712
429.600006	1.92617	0.181698	1.665711	0.041111
429.899994	1.926231	0.18476	1.665704	0.040509
430.200012	1.927274	0.187649	1.665674	0.039832
430.5	1.928808	0.190448	1.665632	0.039117
430.799988	1.930344	0.193243	1.66559	0.038402
431.100006	1.932333	0.1958	1.665528	0.037658
431.399994	1.935223	0.197886	1.665425	0.036856
431.700012	1.938109	0.199967	1.665323	0.036054
432	1.940993	0.202042	1.665221	0.035252
432.299988	1.944973	0.203018	1.665041	0.034391
