Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
816.792969	2.068269	0.003242
818.374512	2.068157	0.003236
819.955933	2.068045	0.003229
821.537415	2.067935	0.003223
823.118774	2.067824	0.003217
824.700012	2.067715	0.003211
826.281128	2.067606	0.003204
827.862183	2.067498	0.003198
829.443237	2.067391	0.003192
831.024109	2.067284	0.003186
832.604980	2.067178	0.003180
834.185730	2.067072	0.003174
835.766418	2.066967	0.003168
837.347046	2.066863	0.003161
838.927612	2.066759	0.003155
840.507996	2.066656	0.003149
842.088379	2.066554	0.003143
843.668640	2.066452	0.003138
845.248840	2.066350	0.003132
846.828979	2.066250	0.003126
848.408997	2.066149	0.003120
849.988953	2.066050	0.003114
851.568848	2.065951	0.003108
853.148621	2.065853	0.003102
854.728333	2.065755	0.003096
856.307922	2.065658	0.003091
857.887390	2.065561	0.003085
859.466797	2.065465	0.003079
861.046204	2.065369	0.003073
862.625488	2.065274	0.003068
864.204590	2.065180	0.003062
865.783691	2.065086	0.003056
867.362671	2.064992	0.003051
868.941589	2.064900	0.003045
870.520386	2.064807	0.003040
872.099121	2.064715	0.003034
873.677734	2.064624	0.003029
875.256226	2.064533	0.003023
876.834778	2.064443	0.003018
878.413086	2.064353	0.003012
879.991394	2.064264	0.003007
881.569519	2.064175	0.003001
883.147644	2.064087	0.002996
884.725586	2.063999	0.002990
886.303528	2.063912	0.002985
887.881348	2.063825	0.002980
889.458984	2.063739	0.002974
891.036621	2.063653	0.002969
892.614136	2.063567	0.002964
894.191589	2.063483	0.002958
895.768860	2.063398	0.002953
897.346069	2.063314	0.002948
898.923218	2.063231	0.002943
900.500305	2.063148	0.002937
902.077271	2.063065	0.002932
903.653992	2.062983	0.002927
905.230774	2.062901	0.002922
906.807434	2.062820	0.002917
908.383972	2.062739	0.002912
909.960327	2.062659	0.002907
911.536743	2.062579	0.002901
913.112976	2.062499	0.002896
914.689087	2.062420	0.002891
916.265137	2.062341	0.002886
917.841003	2.062263	0.002881
919.416870	2.062186	0.002876
920.992554	2.062108	0.002871
922.568237	2.062031	0.002866
924.143738	2.061954	0.002862
925.719116	2.061878	0.002857
927.294556	2.061802	0.002852
928.869751	2.061727	0.002847
930.444824	2.061652	0.002842
932.019836	2.061578	0.002837
933.594604	2.061503	0.002832
935.169434	2.061430	0.002827
936.744141	2.061356	0.002823
938.318726	2.061283	0.002818
939.893188	2.061211	0.002813
941.467468	2.061138	0.002808
943.041809	2.061066	0.002804
944.615906	2.060995	0.002799
946.189941	2.060924	0.002794
947.763855	2.060853	0.002790
949.337585	2.060783	0.002785
950.911316	2.060713	0.002780
952.484985	2.060643	0.002776
954.058411	2.060574	0.002771
955.631714	2.060505	0.002766
957.204956	2.060436	0.002762
958.778137	2.060368	0.002757
960.351196	2.060300	0.002753
961.924011	2.060232	0.002748
963.496887	2.060165	0.002744
965.069519	2.060098	0.002739
966.642090	2.060032	0.002735
968.214539	2.059965	0.002730
969.786926	2.059900	0.002726
971.359070	2.059834	0.002721
972.931274	2.059769	0.002717
974.503235	2.059704	0.002712
976.075073	2.059639	0.002708
977.646790	2.059575	0.002703
979.218445	2.059511	0.002699
980.789917	2.059448	0.002695
982.361328	2.059384	0.002690
983.932617	2.059321	0.002686
985.503784	2.059259	0.002682
987.074829	2.059196	0.002677
988.645691	2.059134	0.002673
990.216492	2.059073	0.002669
991.787231	2.059011	0.002665
993.357727	2.058950	0.002660
994.928223	2.058890	0.002656
996.498413	2.058829	0.002652
998.068665	2.058769	0.002648
999.638794	2.058709	0.002644
1012.848328	2.058216	0.00260
1016.217773	2.058094	0.00260
1019.587708	2.057972	0.00259
1022.958313	2.057852	0.00258
1026.329468	2.057733	0.00257
1029.701294	2.057616	0.00256
1033.073608	2.057499	0.00255
1036.446533	2.057384	0.00254
1039.820190	2.057269	0.00254
1043.194336	2.057156	0.00253
1046.569092	2.057044	0.00252
1049.944458	2.056933	0.00251
1053.320435	2.056823	0.00250
1056.697021	2.056714	0.00250
1060.074097	2.056606	0.00249
1063.451904	2.056499	0.00248
1066.830200	2.056393	0.00247
1070.209106	2.056288	0.00246
1073.588623	2.056185	0.00246
1076.968750	2.056082	0.00245
1080.349487	2.055980	0.00244
1083.730835	2.055879	0.00243
1087.112793	2.055779	0.00242
1090.495239	2.055680	0.00242
1093.878418	2.055582	0.00241
1097.262085	2.055485	0.00240
1100.646362	2.055388	0.00239
1104.031250	2.055293	0.00239
1107.416748	2.055198	0.00238
1110.802856	2.055105	0.00237
1114.189575	2.055012	0.00237
1117.576904	2.054920	0.00236
1120.964722	2.054829	0.00235
1124.353271	2.054738	0.00234
1127.742310	2.054649	0.00234
1131.131958	2.054560	0.00233
1134.522217	2.054472	0.00232
1137.913086	2.054385	0.00232
1141.304565	2.054298	0.00231
1144.696533	2.054213	0.00230
1148.089233	2.054128	0.00229
1151.482544	2.054044	0.00229
1154.876343	2.053961	0.00228
1158.270752	2.053878	0.00227
1161.665771	2.053796	0.00227
1165.061523	2.053715	0.00226
1168.457764	2.053634	0.00225
1171.854492	2.053555	0.00225
1175.251953	2.053475	0.00224
1178.650024	2.053397	0.00223
1182.048584	2.053319	0.00223
1185.447876	2.053242	0.00222
1188.847656	2.053166	0.00222
1192.248047	2.053090	0.00221
1195.649048	2.053015	0.00220
1199.050537	2.052940	0.00220
1202.452881	2.052866	0.00219
1205.855591	2.052793	0.00218
1209.259033	2.052721	0.00218
1212.662964	2.052649	0.00217
1216.067627	2.052577	0.00217
1219.472778	2.052506	0.00216
1222.878540	2.052436	0.00215
1226.284912	2.052366	0.00215
1229.691772	2.052297	0.00214
1233.099365	2.052229	0.00214
1236.507568	2.052161	0.00213
1239.916260	2.052094	0.00212
1243.325562	2.052027	0.00212
1246.735596	2.051960	0.00211
1250.146118	2.051895	0.00211
1253.557251	2.051829	0.00210
1256.968994	2.051765	0.00209
1260.381226	2.051701	0.00209
1263.794189	2.051637	0.00208
1267.207764	2.051574	0.00208
1270.621826	2.051511	0.00207
1274.036499	2.051449	0.00207
1277.451904	2.051387	0.00206
1280.867676	2.051326	0.00206
1284.284180	2.051265	0.00205
1287.701294	2.051205	0.00204
1291.119019	2.051146	0.00204
1294.537354	2.051086	0.00203
1297.956177	2.051028	0.00203
1301.375610	2.050969	0.00202
1304.795654	2.050911	0.00202
1308.216431	2.050854	0.00201
1311.637573	2.050797	0.00201
1315.059448	2.050740	0.00200
1318.481934	2.050684	0.00200
