Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
829.443237	1.677488	0.033614
831.024109	1.676549	0.033806
832.604980	1.675609	0.033999
834.185730	1.674667	0.034192
835.766418	1.673725	0.034387
837.347046	1.672781	0.034582
838.927612	1.671836	0.034779
840.507996	1.670889	0.034976
842.088379	1.669942	0.035174
843.668640	1.668993	0.035374
845.248840	1.668043	0.035574
846.828979	1.667092	0.035775
848.408997	1.666140	0.035977
849.988953	1.665186	0.036180
851.568848	1.664231	0.036385
853.148621	1.663275	0.036590
854.728333	1.662318	0.036796
856.307922	1.661359	0.037003
857.887390	1.660399	0.037211
859.466797	1.659438	0.037420
861.046204	1.658475	0.037630
862.625488	1.657512	0.037841
864.204590	1.656546	0.038053
865.783691	1.655580	0.038266
867.362671	1.654612	0.038480
868.941589	1.653643	0.038695
870.520386	1.652673	0.038911
872.099121	1.651701	0.039128
873.677734	1.650728	0.039346
875.256226	1.649753	0.039565
876.834778	1.648777	0.039785
878.413086	1.647800	0.040006
879.991394	1.646822	0.040229
881.569519	1.645842	0.040452
883.147644	1.644861	0.040676
884.725586	1.643878	0.040901
886.303528	1.642894	0.041128
887.881348	1.641908	0.041355
889.458984	1.640921	0.041583
891.036621	1.639933	0.041813
892.614136	1.638943	0.042043
894.191589	1.637952	0.042275
895.768860	1.636960	0.042508
897.346069	1.635966	0.042741
898.923218	1.634970	0.042976
900.500305	1.633973	0.043212
902.077271	1.632975	0.043449
903.653992	1.631975	0.043687
905.230774	1.630974	0.043926
906.807434	1.629971	0.044167
908.383972	1.628967	0.044408
909.960327	1.627962	0.044650
911.536743	1.626954	0.044894
913.112976	1.625946	0.045138
914.689087	1.624936	0.045384
916.265137	1.623924	0.045631
917.841003	1.622911	0.045879
919.416870	1.621896	0.046128
920.992554	1.620880	0.046378
922.568237	1.619862	0.046630
924.143738	1.618843	0.046882
925.719116	1.617823	0.047136
927.294556	1.616800	0.047391
928.869751	1.615777	0.047646
930.444824	1.614751	0.047904
932.019836	1.613724	0.048162
933.594604	1.612696	0.048421
935.169434	1.611666	0.048682
936.744141	1.610634	0.048943
938.318726	1.609601	0.049206
939.893188	1.608567	0.049470
941.467468	1.607530	0.049735
943.041809	1.606492	0.050002
944.615906	1.605453	0.050269
946.189941	1.604412	0.050538
947.763855	1.603369	0.050808
949.337585	1.602325	0.051079
950.911316	1.601279	0.051352
952.484985	1.600232	0.051625
954.058411	1.599183	0.051900
955.631714	1.598132	0.052176
957.204956	1.597080	0.052453
958.778137	1.596026	0.052731
960.351196	1.594970	0.053011
961.924011	1.593913	0.053292
963.496887	1.592854	0.053574
965.069519	1.591794	0.053857
966.642090	1.590731	0.054142
968.214539	1.589668	0.054428
969.786926	1.588602	0.054715
971.359070	1.587535	0.055003
972.931274	1.586466	0.055293
974.503235	1.585396	0.055584
976.075073	1.584323	0.055876
977.646790	1.583250	0.056169
979.218445	1.582174	0.056464
980.789917	1.581097	0.056760
982.361328	1.580018	0.057057
983.932617	1.578937	0.057356
985.503784	1.577855	0.057656
987.074829	1.576771	0.057957
988.645691	1.575685	0.058260
990.216492	1.574598	0.058563
991.787231	1.573509	0.058869
993.357727	1.572418	0.059175
994.928223	1.571325	0.059483
996.498413	1.570231	0.059792
998.068665	1.569134	0.060102
999.638794	1.568037	0.060414
1012.848328	1.558727	0.06309
1016.217773	1.556331	0.06379
1019.587708	1.553926	0.06449
1022.958313	1.551512	0.06520
1026.329468	1.549089	0.06592
1029.701294	1.546657	0.06665
1033.073608	1.544215	0.06738
1036.446533	1.541764	0.06812
1039.820190	1.539303	0.06887
1043.194336	1.536834	0.06963
1046.569092	1.534354	0.07039
1049.944458	1.531865	0.07116
1053.320435	1.529367	0.07193
1056.697021	1.526858	0.07272
1060.074097	1.524341	0.07351
1063.451904	1.521813	0.07431
1066.830200	1.519275	0.07511
1070.209106	1.516728	0.07593
1073.588623	1.514171	0.07675
1076.968750	1.511604	0.07758
1080.349487	1.509027	0.07841
1083.730835	1.506440	0.07926
1087.112793	1.503842	0.08011
1090.495239	1.501235	0.08097
1093.878418	1.498618	0.08184
1097.262085	1.495990	0.08272
1100.646362	1.493352	0.08361
1104.031250	1.490704	0.08450
1107.416748	1.488045	0.08541
1110.802856	1.485376	0.08632
1114.189575	1.482696	0.08724
1117.576904	1.480006	0.08817
1120.964722	1.477305	0.08911
1124.353271	1.474594	0.09006
1127.742310	1.471872	0.09101
1131.131958	1.469139	0.09198
1134.522217	1.466396	0.09295
1137.913086	1.463642	0.09394
1141.304565	1.460877	0.09493
1144.696533	1.458101	0.09593
1148.089233	1.455314	0.09694
1151.482544	1.452516	0.09797
1154.876343	1.449707	0.09900
1158.270752	1.446887	0.10004
1161.665771	1.444056	0.10109
1165.061523	1.441214	0.10215
1168.457764	1.438360	0.10323
1171.854492	1.435496	0.10431
1175.251953	1.432620	0.10540
1178.650024	1.429732	0.10650
1182.048584	1.426834	0.10762
1185.447876	1.423923	0.10874
1188.847656	1.421002	0.10988
1192.248047	1.418068	0.11102
1195.649048	1.415124	0.11218
1199.050537	1.412167	0.11335
1202.452881	1.409199	0.11453
1205.855591	1.406219	0.11572
1209.259033	1.403228	0.11692
1212.662964	1.400225	0.11814
1216.067627	1.397210	0.11936
1219.472778	1.394183	0.12060
1222.878540	1.391144	0.12185
1226.284912	1.388093	0.12311
1229.691772	1.385030	0.12439
1233.099365	1.381956	0.12568
1236.507568	1.378869	0.12698
1239.916260	1.375769	0.12829
1243.325562	1.372658	0.12961
1246.735596	1.369535	0.13095
1250.146118	1.366400	0.13230
1253.557251	1.363252	0.13367
1256.968994	1.360092	0.13505
1260.381226	1.356920	0.13644
1263.794189	1.353735	0.13785
1267.207764	1.350538	0.13926
1270.621826	1.347328	0.14070
1274.036499	1.344106	0.14215
1277.451904	1.340872	0.14361
1280.867676	1.337625	0.14509
1284.284180	1.334365	0.14658
1287.701294	1.331093	0.14808
1291.119019	1.327809	0.14961
1294.537354	1.324512	0.15114
1297.956177	1.321202	0.15269
1301.375610	1.317879	0.15426
1304.795654	1.314544	0.15585
1308.216431	1.311196	0.15745
1311.637573	1.307835	0.15906
1315.059448	1.304462	0.16069
1318.481934	1.301076	0.16234
1321.905029	1.297677	0.16401
1325.328613	1.294265	0.16569
1328.752808	1.290840	0.16739
1332.177734	1.287403	0.16911
1335.603149	1.283953	0.17084
1339.029175	1.280490	0.17259
1342.455811	1.277014	0.17436
1345.883057	1.273525	0.17615
1349.310791	1.270024	0.17796
1352.739258	1.266510	0.17978
1356.168213	1.262983	0.18163
1359.597900	1.259443	0.18349
1363.028076	1.255890	0.18538
1366.458740	1.252324	0.18728
1369.890259	1.248746	0.18920
1373.322144	1.245155	0.19114
1376.754761	1.241551	0.19311
1380.187866	1.237935	0.19509
1383.621704	1.234306	0.19709
1387.056030	1.230664	0.19912
1390.490967	1.227009	0.20117
1393.926514	1.223342	0.20324
1397.362671	1.219663	0.20533
1400.799438	1.215971	0.20744
1404.236816	1.212266	0.20957
1407.674683	1.208549	0.21173
1411.113281	1.204820	0.21391
1414.552368	1.201079	0.21612
1417.992065	1.197325	0.21834
1421.432373	1.193559	0.22060
1424.873291	1.189781	0.22287
1428.314819	1.185991	0.22517
1431.756958	1.182190	0.22750
1435.199585	1.178376	0.22985
1438.642944	1.174551	0.23222
1442.086792	1.170714	0.23463
1445.531372	1.166866	0.23705
1448.976318	1.163006	0.23951
1452.422119	1.159135	0.24199
1455.868408	1.155253	0.24450
1459.315186	1.151360	0.24703
1462.762695	1.147457	0.24960
1466.210693	1.143542	0.25219
1469.659424	1.139617	0.25481
1473.108643	1.135682	0.25746
1476.558350	1.131737	0.26014
1480.008911	1.127781	0.26284
1483.459839	1.123816	0.26558
1486.911499	1.119841	0.26835
1490.363770	1.115857	0.27115
1493.816650	1.111863	0.27398
1497.270020	1.107861	0.27684
1500.723999	1.103850	0.27973
1504.178589	1.099831	0.28265
1507.633789	1.095804	0.28561
1511.089600	1.091768	0.28860
1514.546021	1.087725	0.29162
1518.002930	1.083675	0.29468
1521.460571	1.079618	0.29777
1524.918701	1.075554	0.30089
1528.377441	1.071484	0.30405
1531.836792	1.067408	0.30725
1535.296753	1.063326	0.31048
1538.757324	1.059239	0.31374
1542.218506	1.055147	0.31705
1545.680176	1.051050	0.32038
1549.142456	1.046950	0.32376
1552.605469	1.042846	0.32717
1556.068970	1.038738	0.33062
1559.533081	1.034628	0.33411
1562.997803	1.030516	0.33764
1566.463135	1.026402	0.34120
1569.928955	1.022287	0.34481
1573.395508	1.018171	0.34845
1576.862549	1.014054	0.35214
1580.330322	1.009938	0.35586
1583.798584	1.005823	0.35963
1587.267456	1.001710	0.36343
1590.736938	0.997598	0.36728
1594.207031	0.993489	0.37116
1597.677612	0.989384	0.37509
1601.148926	0.985282	0.37906
1604.620850	0.981185	0.38307
1608.093140	0.977094	0.38713
1611.566162	0.973008	0.39123
1615.039795	0.968929	0.39537
1618.514038	0.964857	0.39955
1621.989014	0.960793	0.40377
1625.464355	0.956738	0.40804
1628.940308	0.952693	0.41235
1632.416992	0.948658	0.41671
1635.894165	0.944634	0.42111
1639.371826	0.940623	0.42555
1642.850342	0.936623	0.43003
1646.329346	0.932638	0.43456
1649.808960	0.928666	0.43914
1653.289063	0.924710	0.44375
1656.769897	0.920770	0.44841
1660.251221	0.916847	0.45312
1663.733154	0.912942	0.45786
1667.215820	0.909055	0.46265
1670.698853	0.905187	0.46749
1674.182617	0.901340	0.47236
1677.666992	0.897514	0.47728
1681.151978	0.893709	0.48224
1684.637451	0.889928	0.48725
